link,ph 1,ph2,ph3,ph4,ph5
https://bacdive.dsmz.de/strain/133195,"('Ref.: #24991', 'growth', '5.0-9.0')",,,,
https://bacdive.dsmz.de/strain/133196,"('Ref.: #24994', 'growth', '4.0-8.0')",,,,
https://bacdive.dsmz.de/strain/133197,"('Ref.: #24995', 'optimum', '7.0-7.5')","('Ref.: #24995', 'growth', '6.5-9.0')",,,
https://bacdive.dsmz.de/strain/133198,"('Ref.: #24996', 'optimum', '6.0-7.0')",,,,
https://bacdive.dsmz.de/strain/133199,"('Ref.: #24997', 'growth', '6.0-9.0')",,,,
https://bacdive.dsmz.de/strain/133009,"('Ref.: #24999', 'growth', '5.5-7.8')",,,,
https://bacdive.dsmz.de/strain/133202,"('Ref.: #25001', 'growth', '6.5-9.5')",,,,
https://bacdive.dsmz.de/strain/132676,"('Ref.: #25005', 'growth', '6.2-8.0')",,,,
https://bacdive.dsmz.de/strain/132677,"('Ref.: #25005', 'growth', '6.3-7.8')",,,,
https://bacdive.dsmz.de/strain/133230,"('Ref.: #25006', 'optimum', '6.5-8.0')","('Ref.: #25006', 'growth', '6.0-8.5')",,,
https://bacdive.dsmz.de/strain/133215,"('Ref.: #25007', 'optimum', '6.0-7.0')",,,,
https://bacdive.dsmz.de/strain/133213,"('Ref.: #25009', 'optimum', '6.5-7.5')","('Ref.: #25009', 'growth', '6.0-9.0')",,,
https://bacdive.dsmz.de/strain/133229,"('Ref.: #25012', 'growth', '6.5-9.5')",,,,
https://bacdive.dsmz.de/strain/133204,"('Ref.: #25019', 'growth', '4.0-7.0')",,,,
https://bacdive.dsmz.de/strain/133220,"('Ref.: #25022', 'optimum', '7.0-7.5')","('Ref.: #25022', 'growth', '4.0-8.0')",,,
https://bacdive.dsmz.de/strain/133224,"('Ref.: #25031', 'optimum', '6.5-8.0')",,,,
https://bacdive.dsmz.de/strain/133225,"('Ref.: #25037', 'growth', '6.0-9.0')",,,,
https://bacdive.dsmz.de/strain/133013,"('Ref.: #25039', 'growth', '5.5-8.5')",,,,
https://bacdive.dsmz.de/strain/133014,"('Ref.: #25039', 'optimum', '7.0-7.5')","('Ref.: #25039', 'growth', '5.5-8.5')",,,
https://bacdive.dsmz.de/strain/133227,"('Ref.: #25041', 'growth', '6.0-8.0')",,,,
https://bacdive.dsmz.de/strain/133223,"('Ref.: #25043', 'growth', '6.0-9.0')",,,,
https://bacdive.dsmz.de/strain/133222,"('Ref.: #25044', 'growth', '5.0-9.0')",,,,
https://bacdive.dsmz.de/strain/133216,"('Ref.: #25045', 'optimum', '6.5-8.0')","('Ref.: #25045', 'growth', '6.0-9.0')",,,
https://bacdive.dsmz.de/strain/133262,"('Ref.: #25046', 'growth', '5.5-9.0')","('Ref.: #31413', 'growth', '5.5-8.0')",,,
https://bacdive.dsmz.de/strain/14336,"('Ref.: #25048', 'growth', '5.9-7.7')",,,,
https://bacdive.dsmz.de/strain/133303,"('Ref.: #25052', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/133259,"('Ref.: #25053', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/133256,"('Ref.: #25059', 'growth', '6.0-9.0')",,,,
https://bacdive.dsmz.de/strain/5415,"('Ref.: #25060', 'optimum', '7.1-7.4')","('Ref.: #25060', 'growth', '6.5-8.4')",,,
https://bacdive.dsmz.de/strain/2741,"('Ref.: #25060', 'optimum', '7.1-7.4')","('Ref.: #25060', 'growth', '6.5-8.4')",,,
https://bacdive.dsmz.de/strain/133299,"('Ref.: #25061', 'growth', '5.0-9.0')",,,,
https://bacdive.dsmz.de/strain/133258,"('Ref.: #25064', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/133046,"('Ref.: #25065', 'optimum', '7.0-7.5')","('Ref.: #25065', 'growth', '5.0-9.0')",,,
https://bacdive.dsmz.de/strain/133033,"('Ref.: #25069', 'growth', '4.5-7.0')",,,,
https://bacdive.dsmz.de/strain/133296,"('Ref.: #25070', 'optimum', '7.5-8.0')","('Ref.: #25070', 'growth', '6.0-9.5')",,,
https://bacdive.dsmz.de/strain/133294,"('Ref.: #25071', 'growth', '6.0-9.0')",,,,
https://bacdive.dsmz.de/strain/133246,"('Ref.: #25074', 'growth', '6.0-9.0')",,,,
https://bacdive.dsmz.de/strain/132033,"('Ref.: #25075', 'optimum', '8.0-9.0')",,,,
https://bacdive.dsmz.de/strain/133243,"('Ref.: #25076', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/130206,"('Ref.: #25079', 'optimum', '7.0-8.0')",,,,
